Range|Text
3073-3120|A donkey or mule is wandering loose down the street; two blocks away the owner is waving and shouting, running toward the animal.
3121-3204|A billy goat or ram is wandering loose down the street; people are looking, but not doing anything.
3205-3312|A billy goat or ram is wandering loose down the street; a group of [[2d6]] urchins are following it curiously.
3313-3360|A billy goat or ram is wandering loose down the street; two blocks away the owner is waving and shouting, running toward the animal.
3361-3416|A pig is wandering loose down the street; people are looking, but not doing anything.
3417-3488|A pig is wandering loose down the street; a group of [[2d6]] urchins are following it curiously.
3489-3520|A pig is wandering loose down the street; two blocks away the owner is waving and shouting, running toward the animal.
3521-3548|An exotic (big cat, wolf, monster, etc.) is wandering loose down the street; people are looking, but not doing anything.
3549-3584|An exotic (big cat, wolf, monster, etc.) is wandering loose down the street; a group of [[2d6]] urchins are following it curiously.
3585-3600|An exotic (big cat, wolf, monster, etc.) is wandering loose down the street; two blocks away the owner is waving and shouting, running toward the animal.
3601-3840|A horse (30% chance it is a war horse) recognizes a player-character as its former master (20% chance he/she was or is).
3841-4040|A bull or ox recognizes a player-character as its former master (20% chance he/she was or is).
4041-4160|A donkey or mule recognizes a player-character as its former master (20% chance he/she was or is).
4161-4280|A billy goat or ram recognizes a player-character as its former master (20% chance he/she was or is).
4281-4360|A pig recognizes a player-character as its former master (20% chance he/she was or is).
4361-4400|An exotic (big cat, wolf, monster, etc.) recognizes a player-character as its former master (20% chance he/she was or is).
4401-5100|The player-characters see a pack of [[1d6+2]] thin, mangy dogs fighting over scraps in the path of the player-characters.
5101-5500|The player-characters see a pack of [[1d6+2]] thin, mangy dogs barking at and nipping at any animals in the player-character party.
5501-6100|The player-characters see a pack of [[1d6+2]] thin, mangy dogs trailing the player-characters, begging for food.
6101-6300|The player-characters see a pack of [[1d6+2]] thin, mangy dogs; one dog wets on a random player-character.
6301-6400|The player-characters see a pack of [[1d6+2]] thin, mangy dogs; the starving animals attack the player-characters.
6401-6720|A swarm of bees appears, driving nearby caravan animals and drivers crazy, blocking traffic.
6721-7000|A swarm of bees appears, swarming on the wall of a nearby shop and the shopkeeper is frantic.
7001-7200|A swarm of bees appears, passing the player-characters, stampeding their animals and threatening every player-character with stings.
7201-7400|A peddler tries to sell a trained rat as an unusual pet to a player-character.
7401-7480|A peddler tries to sell a hawk or an eagle as an unusual pet to a player-character.
7481-7640|A peddler tries to sell a snake as an unusual pet to a player-character.
7641-7760|A peddler tries to sell a monkey as an unusual pet to a player-character.
7761-7800|A peddler tries to sell a 4-armed monkey as an unusual pet to a player-character.
7801-7880|A peddler tries to sell a trained ferret as an unusual pet to a player-character.
7881-7960|A peddler tries to sell a parrot or exotic bird as an unusual pet to a player-character.
7961-8000|A peddler tries to sell a baby monster as an unusual pet to a player-character.
